SourceCode,SourceDescription,SourceTermStatus,TargetSourceCode,TargetDescription,TargetTermStatus,TargetDomain,IsRestricted,Source Archetype ID,Source Archetype Node ID,Source Archetype Path,Source Archetype Reference Node ID
3569,Amino acid change,Active,48005-3,Amino acid change Bld/Tiss Find Pt Nom Molgen,Active,Lab Test,False,s2-EHR-Node.genomic_variant_result.v1.0.3,id13,/items[id9]/items[id13],
3570,Amino acid change type,Active,48006-1,Amino acid change type Bld/Tiss Type Pt Nom Molgen,Active,Lab Test,False,s2-EHR-Node.genomic_variant_result.v1.0.3,id14,/items[id9]/items[id14],
3876,Amount,Active,82767-5,Amount dispensed Medication Num Pt Qn,Active,General,False,s2-EHR-Node.medication.v2.0.1,id140,/items[id140],
1012,Anatomical location,Active,091b541d-32d4-eb11-8fa2-000d3a996e40,Body location precoordinated,Active,General,False,s2-EHR-Action.imaging_exam.v0.0.1-alpha,id23,/description[id23],s2-EHR-Node.anatomical_location.v1.2.2
1351,Ancestry,Active,42784-9,Ethnic background Patient Type Pt Nom Stated,Active,General,False,s2-EHR-Assessment.ethnicity.v1.1.3,id5,/data[id5],
1260,Antecedent cause,Active,69441-4,Other significant causes or conditions of death,Active,General,False,s2-EHR-Assessment.cause_of_death.v1.0.1,id4,/data[id4],
1262,Antecedent cause,Active,68346-6,Other cause of death,Active,General,False,s2-EHR-Assessment.cause_of_death.v1.0.1,id5,/data[id4]/items[id5],
2346,Associated Situation,Active,7750e154-2fcd-eb11-8fa2-000d3a996e40,Associated Situation Find Pt Patient Nom,Active,General,False,s2-EHR-Direct_observation.heart_rate.v1.0.0,id1053,/state[id1053],
3137,Atmospheric pressure,Active,20053-5,Pressure Atmosphere Pres Pt Qn,Active,General,False,s2-EHR-Node.environmental_conditions.v0.0.1-alpha,id12,/items[id12],
1100,Attending unit,Active,52835-6,Nursing unit name,Active,General,False,s2-EHR-Admin_entry.episode_institution.v0.0.1-alpha,id22,/data[id22],
2950,Batch Lot number,Active,74714-7,Lot or batch number {Device} ID Pt Nom,Active,General,False,s2-EHR-Node.device.v1.1.2,id7,/items[id7],
1098,Bed,Active,104048-4,Bed identification Patient ID Pt Nom,Active,General,False,s2-EHR-Admin_entry.episode_institution.v0.0.1-alpha,id25,/data[id19]/items[id25],
1382,Biological sex,Active,46098-0,Sex Patient Type Pt Nom,Active,General,False,s2-EHR-Assessment.family_history.v2.0.5-alpha,id61,/data[id4]/items[id61],
3446,Biological sex,Active,46098-0,Sex Patient Type Pt Nom,Active,General,False,s2-EHR-Node.family_prevalence.v1.0.5,id34,/items[id32]/items[id34],
1376,Biomarker description,Active,104901-4,Condition biomarker description Narrative,Active,General,False,s2-EHR-Assessment.family_history.v2.0.5-alpha,id23,/data[id4]/items[id25]/items[id23],
1375,Biomarkers,Active,104958-4,Condition biomarker information Narrative,Active,General,False,s2-EHR-Assessment.family_history.v2.0.5-alpha,id25,/data[id4]/items[id25],
2197,Biparietal diameter (BPD),Active,11820-8,Diameter.biparietal Head Fetus Len Pt Qn US.measured,Active,Procedure - Imaging,False,s2-EHR-Direct_observation.fetal_biometry.v1.0.2,id7,/data[id7],
5518,Birth date,Active,21112-8,Birth date Patient TmStp Pt Qn,Active,Lab Test,False,s2-Entity-Node.person_birth_data_iso.v0.0.1-alpha,id2,/items[id2],
2857,Birth order,Active,73771-8,Birth order,Active,General,False,s2-EHR-Node.birth_detail.v0.0.1-alpha,id4,/items[id4],
5521,Birth order,Active,73771-8,Birth order,Active,General,False,s2-Entity-Node.person_birth_data_iso.v0.0.1-alpha,id5,/items[id5],
1239,Birth plurality,Active,57722-1,Birth plurality Pregnancy Num Pt Ord,Active,General,False,s2-EHR-Assessment.birth_summary.v0.0.1-alpha,id8,/data[id8],
5520,Birth plurality,Active,57722-1,Birth plurality Pregnancy Num Pt Ord,Active,General,False,s2-Entity-Node.person_birth_data_iso.v0.0.1-alpha,id4,/items[id4],
2331,Body length/height,Active,8302-2,Body height Patient Len Pt Qn,Active,General,False,s2-EHR-Direct_observation.growth_velocity.v0.0.1-alpha,id6,/data[id6],
1977,Body position,Active,8361-8,Body position with respect to gravity Patient Type Pt Nom *,Active,General,False,s2-EHR-Direct_observation.body_segment_area.v1.0.2,id32,/state[id32],
1989,Body position,Active,8361-8,Body position with respect to gravity Patient Type Pt Nom *,Active,General,False,s2-EHR-Direct_observation.body_segment_circumference.v1.0.1,id32,/state[id32],
2011,Body position,Active,8361-8,Body position with respect to gravity Patient Type Pt Nom *,Active,General,False,s2-EHR-Direct_observation.body_segment_length.v1.1.1,id32,/state[id32],
2123,Body Position,Active,8361-8,Body position with respect to gravity Patient Type Pt Nom *,Active,General,False,s2-EHR-Direct_observation.ecg_result.v1.0.4,id108,/state[id108],
2347,Body Position,Active,8361-8,Body position with respect to gravity Patient Type Pt Nom *,Active,General,False,s2-EHR-Direct_observation.heart_rate.v1.0.0,id9,/state[id9],
2369,Body position,Active,8361-8,Body position with respect to gravity Patient Type Pt Nom *,Active,General,False,s2-EHR-Direct_observation.jugular_venous_pressure.v0.0.1-alpha,id15,/state[id15],
1978,Body segment circumference,Active,9844-2,Circumference Len Pt Qn,Active,General,False,s2-EHR-Direct_observation.body_segment_circumference.v1.0.1,id1,/,
1981,Body segment name,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Direct_observation.body_segment_circumference.v1.0.1,id5,/data[id5],
2002,Body segment name,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Direct_observation.body_segment_length.v1.1.1,id5,/data[id5],
1018,Body site,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Action.medication.v1.2.2,id142,/description[id141]/items[id142],
1043,Body site,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Action.procedure.v1.4.3,id64,/description[id64],
1330,Body site,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Assessment.device_summary.v0.0.1-alpha,id13,/data[id23]/items[id13],
1647,Body site,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Assessment.problem_diagnosis.v1.3.1,id13,/data[id13],
2451,Body site,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Direct_observation.skeletal_age.v0.0.1-alpha,id15,/qualifiers[id15],
3173,Body site,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Node.exam_lesion.v0.0.1-alpha,id2,/items[id2],
3212,Body site,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Node.exam_wound.v0.0.1-alpha,id13,/items[id13],
3423,Body site,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Node.exam.v1.0.10-alpha,id13,/items[id13],
3432,Body site,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Node.exam.v2.0.1,id13,/items[id13],
3694,Body site,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Node.imaging_exam.v1.1.2,id3,/items[id3],
4050,Body site,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Node.oedema.v0.0.1-alpha,id13,/items[id13],
4095,Body site,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Node.physiological_monitoring.v0.0.1-alpha,id3,/items[id3],
4120,Body site,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Node.procedure_preparation.v0.0.1-alpha,id6,/items[id6],
4183,Body site,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Node.skin_sensation.v0.0.1-alpha,id13,/items[id13],
4256,Body site,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Node.symptom_sign.v2.1.0,id152,/items[id152],
4509,Body site,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Order.therapeutic_item_order.v0.0.1-alpha,id93,/activities[id2]/description[id93],
2811,Body site name,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Node.anatomical_location.v1.2.2,id2,/items[id2],
2012,Body surface area,Active,8277-6,Body surface Patient Area Pt Qn,Active,General,False,s2-EHR-Direct_observation.body_surface_area.v1.1.3,id1,/,
2014,Body Surface Area,Active,8277-6,Body surface Patient Area Pt Qn,Active,General,False,s2-EHR-Direct_observation.body_surface_area.v1.1.3,id5,/data[id5],
2019,Body temperature,Active,8310-5,Body temperature Patient Temp Pt Qn,Active,General,False,s2-EHR-Direct_observation.body_temperature.v2.1.5,id1,/,
2020,Body Temperature,Active,8310-5,Body temperature Patient Temp Pt Qn,Active,General,False,s2-EHR-Direct_observation.body_temperature.v2.1.5,id5,/data[id5],
2028,Body weight,Active,29463-7,Body weight Patient Mass Pt Qn,Active,General,False,s2-EHR-Direct_observation.body_weight.v2.1.6,id1,/,
2330,Body weight,Active,29463-7,Body weight Patient Mass Pt Qn,Active,General,False,s2-EHR-Direct_observation.growth_velocity.v0.0.1-alpha,id5,/data[id5],
4695,Braden scale,Active,38228-3,Braden scale skin assessment panel Patient - Pt -,Active,General,False,s2-EHR-Score.braden_scale.v1.2.1,id1,/,
1000,Care Plan,Active,67853-2,Plan of care {Setting} Find Pt Doc {Provider},Retired,Clinical Document,False,s2-EHR-Action.care_plan.v0.0.1-alpha,id1,/,
1004,Care Plan ID,Active,104951-9,Care plan identifier,Active,General,False,s2-EHR-Action.care_plan.v0.0.1-alpha,id17,/qualifiers[id17],
1003,Care Plan Name,Active,104952-7,Care plan name [Identifier],Active,General,False,s2-EHR-Action.care_plan.v0.0.1-alpha,id3,/description[id3],
4396,Care plan request,Active,104953-5,Care plan request information,Active,General,False,s2-EHR-Order.care_plan_request.v0.0.1-alpha,id1,/,
2866,Case identifier,Active,94659-0,Case identifier Patient ID Pt Nom,Active,General,False,s2-EHR-Node.case_identification.v0.0.1-alpha,id2,/items[id2],
2941,Catalogue number,Active,104927-9,Catalog number [Identifier],Active,General,False,s2-EHR-Node.device.v1.1.2,id23,/items[id23],
1156,Category,Active,104948-5,Adverse reaction category,Active,General,False,s2-EHR-Assessment.adverse_reaction_risk.v2.0.0,id121,/data[id121],
1657,Cause,Active,99496-2,Condition cause Patient Find Pt Nom,Active,General,False,s2-EHR-Assessment.problem_diagnosis.v1.3.1,id79,/data[id79],
1252,Cause of death,Active,79378-6,Cause of death Patient Find Pt Nom,Active,General,False,s2-EHR-Assessment.cause_of_death.v1.0.1,id1,/,
1389,Cause of death indicator,Active,104954-3,Cause of death indicator Person,Active,General,False,s2-EHR-Assessment.family_history.v2.0.5-alpha,id15,/data[id4]/items[id9]/items[id15],
2795,Centre landmark,Active,1d4efd47-32d4-eb11-8fa2-000d3a996e40,Landmark description,Active,General,False,s2-EHR-Node.anatomical_location_circle.v1.0.1,id80,/items[id80],
2786,Certainty,Active,104955-0,Certainty of presence,Active,General,False,s2-EHR-Node.adverse_reaction_event.v1.0.0,id3,/items[id3],
1514,Cessation of use,Active,91382-2,Date medication stopped Patient Date Pt Qn Reported,Active,General,False,s2-EHR-Assessment.medication_summary.v1.0.1,id11,/data[id11],
2891,Chlamydia trachomatis & Neisseria gonorrhoeae DNA Prid Pt Nom Probe.amp.tar,Active,36903-3,Chlamydia trachomatis & Neisseria gonorrhoeae DNA Prid Pt Nom Probe.amp.tar,Active,Lab Test,False,s2-EHR-Node.ChlamydiaTrachomatisNeisseriaGonorrhoeaeDNAPridPtXXXNomProbeAmpTarLabObs.v1.0.0,id1.1.1,/,
2890,Chlamydia trachomatis DNA Prid Pt Nom Probe.amp.tar,Active,47212-6,Chlamydia trachomatis DNA Prid Pt Nom Probe.amp.tar,Active,Lab Test,False,s2-EHR-Node.ChlamydiaTrachomatisDNAPridPtXXXNomProbeAmpTarLabObs.v1.0.0,id1.1.1,/,
1824,Chronological age,Active,29553-5,Age Patient Time Pt Qn Calculated,Active,Lab Test,False,s2-EHR-Direct_observation.age.v0.0.1-alpha,id5,/data[id5],
2793,Circular direction,Active,cedae85c-32d4-eb11-8fa2-000d3a996e40,Clock face direction,Active,General,False,s2-EHR-Node.anatomical_location_circle.v1.0.1,id62,/items[id62],
1120,City,Active,68997-6,City,Active,General,False,s2-EHR-Admin_entry.travel_event.v0.0.1-alpha,id14,/data[id11]/items[id14],
5476,City,Active,68997-6,City,Active,General,False,s2-Entity-Node.identifier_other_details.v0.0.1-alpha,id2,/items[id2],
2768,City/Town,Active,68997-6,City,Active,General,False,s2-EHR-Node.address.v1.1.0,id3,/items[id3],
1078,Clinical description,Active,61133-5,Clinical impression [TIMP],Active,General,False,s2-EHR-Action.transfusion.v0.0.1-alpha,id20,/description[id21]/items[id20],
1388,Clinical description,Active,61133-5,Clinical impression [TIMP],Active,General,False,s2-EHR-Assessment.family_history.v2.0.5-alpha,id13,/data[id4]/items[id9]/items[id13],
1520,Clinical description,Active,61133-5,Clinical impression [TIMP],Active,General,False,s2-EHR-Assessment.medication_summary.v1.0.1,id8,/data[id8],
1646,Clinical description,Active,61133-5,Clinical impression [TIMP],Active,General,False,s2-EHR-Assessment.problem_diagnosis.v1.3.1,id10,/data[id10],
1812,Clinical description,Active,61133-5,Clinical impression [TIMP],Active,General,False,s2-EHR-Direct_observation.adl.v0.0.1-alpha,id6,/data[id6],
2283,Clinical description,Active,61133-5,Clinical impression [TIMP],Active,General,False,s2-EHR-Direct_observation.fundoscopic_examination.v0.0.1-alpha,id9,/data[id137]/items[id9],
2362,Clinical description,Active,61133-5,Clinical impression [TIMP],Active,General,False,s2-EHR-Direct_observation.jugular_venous_pressure.v0.0.1-alpha,id28,/data[id28],
2378,Clinical description,Active,61133-5,Clinical impression [TIMP],Active,General,False,s2-EHR-Direct_observation.mantoux_test_result.v0.0.1-alpha,id13,/data[id13],
3200,Clinical description,Active,61133-5,Clinical impression [TIMP],Active,General,False,s2-EHR-Node.exam_tendon_reflexes.v0.0.2-alpha,id4,/items[id4],
3235,Clinical description,Active,61133-5,Clinical impression [TIMP],Active,General,False,s2-EHR-Node.exam_wound.v0.0.1-alpha,id4,/items[id4],
3426,Clinical description,Active,61133-5,Clinical impression [TIMP],Active,General,False,s2-EHR-Node.exam.v1.0.10-alpha,id4,/items[id4],
3434,Clinical description,Active,61133-5,Clinical impression [TIMP],Active,General,False,s2-EHR-Node.exam.v2.0.1,id4,/items[id4],
4054,Clinical description,Active,61133-5,Clinical impression [TIMP],Active,General,False,s2-EHR-Node.oedema.v0.0.1-alpha,id4,/items[id4],
4191,Clinical description,Active,61133-5,Clinical impression [TIMP],Active,General,False,s2-EHR-Node.skin_sensation.v0.0.1-alpha,id4,/items[id4],
1024,Clinical indication,Active,104720-8,Clinical indication,Active,General,False,s2-EHR-Action.medication.v1.2.2,id157,/description[id157],
1282,Clinical indication,Active,104720-8,Clinical indication,Active,General,False,s2-EHR-Assessment.contraceptive_summary.v1.0.0,id169,/data[id30]/items[id65]/items[id169],
1297,Clinical indication,Active,104720-8,Clinical indication,Active,General,False,s2-EHR-Assessment.contraindication.v1.1.1,id22,/data[id22],
1425,Clinical indication,Active,104720-8,Clinical indication,Active,General,False,s2-EHR-Assessment.goal.v1.1.2,id11,/data[id11],
1517,Clinical indication,Active,104720-8,Clinical indication,Active,General,False,s2-EHR-Assessment.medication_summary.v1.0.1,id29,/data[id29],
2388,Clinical indication,Active,104720-8,Clinical indication,Active,General,False,s2-EHR-Direct_observation.medication_statement.v0.0.1-alpha,id24,/data[id24],
2721,Clinical indication,Active,104720-8,Clinical indication,Active,General,False,s2-EHR-Imaging.imaging_exam_result.v1.1.1,id62,/data[id62],
4448,Clinical indication,Active,104720-8,Clinical indication,Active,General,False,s2-EHR-Order.medication_order.v3.1.0,id19,/activities[id2]/description[id19],
4480,Clinical indication,Active,104720-8,Clinical indication,Active,General,False,s2-EHR-Order.supplemental_oxygen_order.v0.0.1-alpha,id29,/activities[id2]/description[id29],
4507,Clinical indication,Active,104720-8,Clinical indication,Active,General,False,s2-EHR-Order.therapeutic_item_order.v0.0.1-alpha,id19,/activities[id2]/description[id19],
4513,Clinical indication,Active,104720-8,Clinical indication,Active,General,False,s2-EHR-Order.transfusion_order.v0.0.1-alpha,id10,/activities[id2]/description[id10],
1855,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.audiogram_result.v0.0.1-alpha,id71,/data_series[id164]/items[id7]/items[id56]/items[id71],
1887,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.audiogram_result.v0.0.1-alpha,id71,/data[id7]/items[id56]/items[id71],
1918,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.auditory_brainstem_response_result.v0.0.1-alpha,id19,/data[id16]/items[id19],
1964,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.body_mass_index.v2.0.6,id14,/data[id14],
2035,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.capillary_refill.v1.0.0,id6,/data[id6],
2051,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.child_growth.v0.0.1-alpha,id42,/data[id42],
2207,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.Fetal_growth.v0.0.1-alpha,id42,/data[id42],
2220,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.fetal_heart.v0.0.1-alpha,id11,/data[id11],
2280,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.fundoscopic_examination.v0.0.1-alpha,id144,/data[id137]/items[id144],
2340,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.heart_rate.v1.0.0,id1060,/data[id1060],
2363,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.jugular_venous_pressure.v0.0.1-alpha,id29,/data[id29],
2433,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.pf_ratio.v1.0.0,id8,/data[id8],
2441,Clinical Interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.rinne_weber_result.v0.0.1-alpha,id18,/data[id18],
2459,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.spirometry_result.v2.0.0,id131,/data[id131],
2523,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.tympanogram_226hz.v0.0.1-alpha,id34,/data_series[id38]/items[id13]/items[id34],
2542,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.tympanogram_226hz.v0.0.1-alpha,id34,/data_series[id39]/items[id13]/items[id34],
2561,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.tympanogram_226hz.v0.0.1-alpha,id34,/data_series[id40]/items[id13]/items[id34],
2580,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.tympanogram_226hz.v0.0.1-alpha,id34,/data[id13]/items[id34],
2612,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.tympanogram_hf.v0.0.1-alpha,id34,/data_series[id38]/items[id13]/items[id34],
2630,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.tympanogram_hf.v0.0.1-alpha,id34,/data_series[id39]/items[id13]/items[id34],
2648,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.tympanogram_hf.v0.0.1-alpha,id34,/data_series[id40]/items[id13]/items[id34],
