SourceCode,SourceDescription,SourceTermStatus,TargetSourceCode,TargetDescription,TargetTermStatus,TargetDomain,IsRestricted,Source Archetype ID,Source Archetype Node ID,Source Archetype path,Source Archetype reference ID,,,,,,,,
1047,Problem,Active,75326-9,Problem Patient Find Pt Nom,Active,General,False,s2-EHR-Composition.simple_problem_list.v1,id2,/content[id2],s2-EHR-Assessment.problem_diagnosis.v1,,,,,,,,
1048,Master problem List,Active,11450-4,Problem list Patient Find Pt Nom Reported,Active,General,False,s2-EHR-Composition.simple_problem_list.v1,id1,/,,,,,,,,,
1049,Substance,Active,104986-5,Substance Patient Find Pt Nom,Active,General,False,s2-EHR-Assessment.adverse_reaction_risk.v2,id3,/data[id3],,,,,,,,,
1050,inactive status,Active,a7affd63-6682-ef11-8870-6045bdc71c8b,Adverse reaction status,Active,General,False,s2-EHR-Assessment.adverse_reaction_risk.v2,id131,/data[id131],,,,,,,,,
1051,Verification status,Active,104932-9,Verification status Patient Find Pt Nar,Active,General,False,s2-EHR-Assessment.adverse_reaction_risk.v2,id64,/data[id64],,,,,,,,,
1052,Criticality,Active,82606-5,Allergy or intolerance criticality Patient Imp Pt Ord,Active,General,False,s2-EHR-Assessment.adverse_reaction_risk.v2,id102,/data[id102],,,,,,,,,
1053,Category,Active,104948-5,Adverse reaction category Patient Find Pt Nom,Active,General,False,s2-EHR-Assessment.adverse_reaction_risk.v2,id121,/data[id121],,,,,,,,,
1054,Onset of last reaction,Active,66947-3,Date last reaction Patient Date Pt Qn PhenX,Active,General,False,s2-EHR-Assessment.adverse_reaction_risk.v2,id118,/data[id118],,,,,,,,,
1055,Onset of first reaction,Active,104914-7,Date first reaction Patient Date Pt Qn,Active,General,False,s2-EHR-Assessment.adverse_reaction_risk.v2,id134,/data[id134],,,,,,,,,
1056,Reaction mechanism,Active,104924-6,Reaction mechanism Patient Find Pt Nar,Active,General,False,s2-EHR-Assessment.adverse_reaction_risk.v2,id59,/data[id59],,,,,,,,,
1057,Reaction event summary,Active,104949-3,Adverse reaction event summary Patient Find Pt Nar,Active,General,False,s2-EHR-Assessment.adverse_reaction_risk.v2,id130,/data[id130],s2-EHR-Info_node.adverse_reaction_event.v1,,,,,,,,
1058,Comment,Active,106173-8,General comment Patient Find Pt Nar,Active,General,False,s2-EHR-Assessment.adverse_reaction_risk.v2,id7,/data[id7],,,,,,,,,
1059,Last updated,Active,106177-9,Date and time of last update of data Patient Date Pt Qn,Active,General,False,s2-EHR-Assessment.adverse_reaction_risk.v2,id63,/qualifiers[id63],,,,,,,,,
1060,Supporting clinical record information,Active,104987-3,Supporting clinical information Patient ID Pt Nom,Active,General,False,s2-EHR-Assessment.adverse_reaction_risk.v2,id48,/qualifiers[id48],,,,,,,,,
1062,Adverse reaction risk,Active,e7a25771-6682-ef11-8870-6045bdc71c8b,Adverse reaction risk information panel,Active,General,False,s2-EHR-Assessment.adverse_reaction_risk.v2,id1,/,,,,,,,,,
1063,Summary,Active,10157-6,History of family member diseases Family member Hx Pt Nar,Active,General,False,s2-EHR-Assessment.family_history.v2,id3,/data[id3],,,,,,,,,
1064,Problem/diagnosis name,Active,29548-5,Diagnosis Patient Imp Pt Nar,Active,General,False,s2-EHR-Assessment.family_history.v2,id30,/data[id29]/items[id30],,,,,,,,,
1065,Description,Active,107132-3,Description,Active,General,False,s2-EHR-Assessment.family_history.v2,id31,/data[id29]/items[id31],,,,,,,,,
1066,Problem details,Active,104979-0,Problem family prevalence details Patient Pn Pt Nom,Active,General,False,s2-EHR-Assessment.family_history.v2,id60,/data[id29]/items[id60],s2-EHR-Info_node.family_prevalence.v1,,,,,,,,
1067,Per problem,Active,74023-3,Disease of interest Family member Find Pt Nom,Active,General,False,s2-EHR-Assessment.family_history.v2,id29,/data[id29],,,,,,,,,
1068,Family member name,Active,54138-3,Name Family member,Active,General,False,s2-EHR-Assessment.family_history.v2,id5,/data[id4]/items[id5],,,,,,,,,
1069,Alias,Active,56798-2,Alias Patient Pn Pt Nom,Active,General,False,s2-EHR-Assessment.family_history.v2,id21,/data[id4]/items[id21],,,,,,,,,
1070,Family member details,Active,104976-6,Information panel Person - Pt -,Active,General,False,s2-EHR-Assessment.family_history.v2,id49,/data[id4]/items[id49],s2-EHR-Entity_ref_node.person_ref.v1,,,,,,,,
1071,Biological sex,Active,46098-0,Sex Patient Type Pt Nom,Active,General,False,s2-EHR-Assessment.family_history.v2,id61,/data[id4]/items[id61],,,,,,,,,
1072,Relationship,Active,54136-7,Relationship to patient Family member Type Pt Nom,Active,General,False,s2-EHR-Assessment.family_history.v2,id17,/data[id4]/items[id17],,,,,,,,,
1073,Relationship degree,Active,104984-0,Relationship degree Person Find Pt Nom,Active,General,False,s2-EHR-Assessment.family_history.v2,id65,/data[id4]/items[id65],,,,,,,,,
1074,Family line,Active,104908-9,Relationship family line Person Find Pt Nar,Active,General,False,s2-EHR-Assessment.family_history.v2,id69,/data[id4]/items[id69],,,,,,,,,
1075,Date of birth,Active,54124-3,Birth date Family member,Active,General,False,s2-EHR-Assessment.family_history.v2,id6,/data[id4]/items[id6],,,,,,,,,
1076,Deceased?,Active,104923-8,Deceased indicator Person Find Pt Nar,Active,General,False,s2-EHR-Assessment.family_history.v2,id24,/data[id4]/items[id24],,,,,,,,,
1077,Age at death,Active,39016-1,Age at death Patient Time Pt Qn,Active,Lab Test,False,s2-EHR-Assessment.family_history.v2,id12,/data[id4]/items[id12],,,,,,,,,
1078,Date of death,Active,81954-0,Date of death Patient Date Pt Qn,Active,General,False,s2-EHR-Assessment.family_history.v2,id59,/data[id4]/items[id59],,,,,,,,,
1079,Problem/diagnosis name,Active,29308-4,Diagnosis Patient Imp Pt Nom,Active,General,False,s2-EHR-Assessment.family_history.v2,id10,/data[id4]/items[id9]/items[id10],,,,,,,,,
1080,Clinical description,Active,61133-5,Clinical impression [TIMP],Active,General,False,s2-EHR-Assessment.family_history.v2,id13,/data[id4]/items[id9]/items[id13],,,,,,,,,
1081,Age at onset,Active,75273-3,Age at event onset Family member Time Pt Qn,Active,General,False,s2-EHR-Assessment.family_history.v2,id11,/data[id4]/items[id9]/items[id11],,,,,,,,,
1082,Cause of death?,Active,104954-3,Cause of death indicator Person Find Pt Nom,Active,General,False,s2-EHR-Assessment.family_history.v2,id15,/data[id4]/items[id9]/items[id15],,,,,,,,,
1083,Clinical history,Active,5b65d07a-6682-ef11-8870-6045bdc71c8b,Family member clinical history information panel,Active,General,False,s2-EHR-Assessment.family_history.v2,id9,/data[id4]/items[id9],,,,,,,,,
1084,Comment,Active,106173-8,General comment Patient Find Pt Nar,Active,General,False,s2-EHR-Assessment.family_history.v2,id47,/data[id4]/items[id47],,,,,,,,,
1085,Biomarker description,Active,104901-4,Condition biomarker description Patient Find Pt Nar,Active,General,False,s2-EHR-Assessment.family_history.v2,id23,/data[id4]/items[id25]/items[id23],,,,,,,,,
1086,Biomarker details,Active,104901-4,Condition biomarker description Patient Find Pt Nar,Active,General,False,s2-EHR-Assessment.family_history.v2,id28,/data[id4]/items[id25]/items[id28],,,,,,,,,
1087,Biomarkers,Active,104958-4,Condition biomarker information Patient Find Pt Nar,Active,General,False,s2-EHR-Assessment.family_history.v2,id25,/data[id4]/items[id25],,,,,,,,,
1088,Per family member,Active,54114-4,Family member health history [USSG-FHT] Family member,Active,General,False,s2-EHR-Assessment.family_history.v2,id4,/data[id4],,,,,,,,,
1089,Multimedia,Active,107130-7,Media file panel,Active,General,False,s2-EHR-Assessment.family_history.v2,id54,/data[id54],s2-EHR-Info_node.media_file.v1,,,,,,,,
1090,Last Updated,Active,106177-9,Date and time of last update of data Patient Date Pt Qn,Active,General,False,s2-EHR-Assessment.family_history.v2,id27,/qualifiers[id27],,,,,,,,,
1092,Family history,Active,8670-2,History of family member diseases Family member Hx Pt Nom,Active,General,False,s2-EHR-Assessment.family_history.v2,id1,/,,,,,,,,,
1093,Goal name,Active,80b97d82-6682-ef11-8870-6045bdc71c8b,Health care goal name,Active,General,False,s2-EHR-Assessment.goal.v1,id3,/data[id3],,,,,,,,,
1094,Goal description,Active,87cdd18a-6682-ef11-8870-6045bdc71c8b,Health care goal description,Active,General,False,s2-EHR-Assessment.goal.v1,id13,/data[id13],,,,,,,,,
1095,Clinical indication,Active,104720-8,Clinical indication Patient Find Pt Nar,Active,General,False,s2-EHR-Assessment.goal.v1,id11,/data[id11],,,,,,,,,
1096,Goal start date,Active,106197-7,Start date and time Date Pt Qn,Active,General,False,s2-EHR-Assessment.goal.v1,id26,/data[id26],,,,,,,,,
1097,Goal proposed date,Active,bc56099f-6682-ef11-8870-6045bdc71c8b,Propsed date/time,Active,General,False,s2-EHR-Assessment.goal.v1,id4,/data[id4],,,,,,,,,
1098,Goal end date,Active,106180-3,End date and time Patient Date Pt Qn,Active,General,False,s2-EHR-Assessment.goal.v1,id5,/data[id5],,,,,,,,,
1099,Goal outcome,Active,e9f6d1a6-6682-ef11-8870-6045bdc71c8b,Outcome of goal,Active,General,False,s2-EHR-Assessment.goal.v1,id14,/data[id14],,,,,,,,,
1100,Goal comment,Active,106173-8,General comment Patient Find Pt Nar,Active,General,False,s2-EHR-Assessment.goal.v1,id23,/data[id23],,,,,,,,,
1101,Readiness for change,Active,5be1ddb8-6e82-ef11-8870-6045bdc71c8b,Readiness to change,Active,General,False,s2-EHR-Assessment.goal.v1,id29,/data[id29],s2-EHR-Info_node.change.v0,,,,,,,,
1102,Target name,Active,c52ef8ae-6682-ef11-8870-6045bdc71c8b,Goal target name,Active,General,False,s2-EHR-Assessment.goal.v1,id12,/data[id6]/items[id12],,,,,,,,,
1103,Target,Active,578925b7-6682-ef11-8870-6045bdc71c8b,Goal target ID,Active,General,False,s2-EHR-Assessment.goal.v1,id8,/data[id6]/items[id8],,,,,,,,,
1104,Target description,Active,1b5426be-6682-ef11-8870-6045bdc71c8b,Target description,Active,General,False,s2-EHR-Assessment.goal.v1,id25,/data[id6]/items[id25],,,,,,,,,
1105,Target path,Active,f1b860c5-6682-ef11-8870-6045bdc71c8b,Resource path for target information,Active,General,False,s2-EHR-Assessment.goal.v1,id7,/data[id6]/items[id7],,,,,,,,,
1106,Target proposed date,Active,afe6e0cb-6682-ef11-8870-6045bdc71c8b,Planned achievement date,Active,General,False,s2-EHR-Assessment.goal.v1,id9,/data[id6]/items[id9],,,,,,,,,
1107,Target end date,Active,106180-3,End date and time Patient Date Pt Qn,Active,General,False,s2-EHR-Assessment.goal.v1,id10,/data[id6]/items[id10],,,,,,,,,
1108,Target outcome,Active,1e6c5ed5-6682-ef11-8870-6045bdc71c8b,Outcome of goal target,Active,General,False,s2-EHR-Assessment.goal.v1,id19,/data[id6]/items[id19],,,,,,,,,
1109,Target comment,Active,106173-8,General comment Patient Find Pt Nar,Active,General,False,s2-EHR-Assessment.goal.v1,id24,/data[id6]/items[id24],,,,,,,,,
1110,Target,Active,1d981cdc-6682-ef11-8870-6045bdc71c8b,Goal target information panel,Active,General,False,s2-EHR-Assessment.goal.v1,id6,/data[id6],,,,,,,,,
1111,Last updated,Active,106177-9,Date and time of last update of data Patient Date Pt Qn,Active,General,False,s2-EHR-Assessment.goal.v1,id30,/qualifiers[id30],,,,,,,,,
1113,Goal,Active,b90d46e3-6682-ef11-8870-6045bdc71c8b,Health care goal information panel,Active,General,False,s2-EHR-Assessment.goal.v1,id1,/,,,,,,,,,
1114,Problem/diagnosis name,Active,29548-5,Diagnosis Patient Imp Pt Nar,Active,General,False,s2-EHR-Assessment.problem_diagnosis.v1,id3,/data[id3],,,,,,,,,
1115,Variant,Active,a30eb7ea-6682-ef11-8870-6045bdc71c8b,Disorder variant,Active,General,False,s2-EHR-Assessment.problem_diagnosis.v1,id80,/data[id80],,,,,,,,,
1116,Clinical description,Active,61133-5,Clinical impression [TIMP],Active,General,False,s2-EHR-Assessment.problem_diagnosis.v1,id10,/data[id10],,,,,,,,,
1117,Body site,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Assessment.problem_diagnosis.v1,id13,/data[id13],,,,,,,,,
1118,Structured body site,Active,72369-2,Body site identification panel Patient - Pt -,Active,General,False,s2-EHR-Assessment.problem_diagnosis.v1,id40,/data[id40],,,,,,,,,
1119,Cause,Active,99496-2,Condition cause Patient Find Pt Nom,Active,General,False,s2-EHR-Assessment.problem_diagnosis.v1,id79,/data[id79],,,,,,,,,
1120,Date/time of onset,Active,76425-8,Date of onset Patient Date Pt Qn Reported,Active,General,False,s2-EHR-Assessment.problem_diagnosis.v1,id78,/data[id78],,,,,,,,,
1121,Date/time clinically recognized,Active,63931-0,Date of diagnosis Patient Date Pt Qn,Active,General,False,s2-EHR-Assessment.problem_diagnosis.v1,id4,/data[id4],,,,,,,,,
1122,Severity,Active,99499-6,Condition severity Patient Find Pt Nom,Active,General,False,s2-EHR-Assessment.problem_diagnosis.v1,id6,/data[id6],,,,,,,,,
1123,Specific details,Active,46696-1,Additional comments [RFC],Active,General,False,s2-EHR-Assessment.problem_diagnosis.v1,id44,/data[id44],,,,,,,,,
1124,Course description,Active,89261-2,Clinical course Patient Find Pt Nom,Active,General,False,s2-EHR-Assessment.problem_diagnosis.v1,id73,/data[id73],,,,,,,,,
1125,Date/time of resolution,Active,104919-6,Date and time of condition resolution Patient TmStp Pt Qn,Active,General,False,s2-EHR-Assessment.problem_diagnosis.v1,id31,/data[id31],,,,,,,,,
1126,Status,Active,99493-9,Condition clinical status Patient Find Pt Nom,Active,General,False,s2-EHR-Assessment.problem_diagnosis.v1,id47,/data[id47],s2-EHR-Info_node.problem_qualifier.v2,,,,,,,,
1127,Diagnostic certainty,Active,100303-7,Condition certainty of presence Patient Imp Pt Ord,Active,General,False,s2-EHR-Assessment.problem_diagnosis.v1,id74,/data[id74],,,,,,,,,
1128,Comment,Active,106173-8,General comment Patient Find Pt Nar,Active,General,False,s2-EHR-Assessment.problem_diagnosis.v1,id70,/data[id70],,,,,,,,,
1129,Last updated,Active,106177-9,Date and time of last update of data Patient Date Pt Qn,Active,General,False,s2-EHR-Assessment.problem_diagnosis.v1,id71,/qualifiers[id71],,,,,,,,,
1131,Diagnosis,Active,75326-9,Problem Patient Find Pt Nom,Active,General,False,s2-EHR-Assessment.problem_diagnosis.v1,id1,/,,,,,,,,,
1158,Medication item,Active,104717-4,Medication name Medication ID Pt Nom,Active,General,False,s2-EHR-Action.medication.v1,id21,/description[id21],,,,,,,,,
1159,Medication details,Active,74078-7,Medication or other substance details panel [AHRQ],Active,General,False,s2-EHR-Action.medication.v1,id105,/description[id105],s2-EHR-Info_node.medication.v3,,,,,,,,
1160,Amount,Active,82767-5,Amount dispensed Medication Num Pt Qn,Active,General,False,s2-EHR-Action.medication.v1,id132,/description[id132],,,,,,,,,
1161,Clinical indication,Active,104720-8,Clinical indication Patient Find Pt Nar,Active,General,False,s2-EHR-Action.medication.v1,id157,/description[id157],,,,,,,,,
1162,Substitution,Active,9773f90d-6782-ef11-8870-6045bdc71c8b,Subsitution indicator,Active,General,False,s2-EHR-Action.medication.v1,id133,/description[id133],,,,,,,,,
1163,Substitution reason,Active,8161fa14-6782-ef11-8870-6045bdc71c8b,Medication substitution reason,Active,General,False,s2-EHR-Action.medication.v1,id134,/description[id134],,,,,,,,,
1164,Original scheduled date/time,Active,0974bb1b-6782-ef11-8870-6045bdc71c8b,Scheduled start date/time,Active,General,False,s2-EHR-Action.medication.v1,id44,/description[id44],,,,,,,,,
1165,Restart date/time,Active,f075b022-6782-ef11-8870-6045bdc71c8b,Restart date time,Active,General,False,s2-EHR-Action.medication.v1,id155,/description[id155],,,,,,,,,
1166,Restart criterion,Active,a24db229-6782-ef11-8870-6045bdc71c8b,Medication restart criterion,Active,General,False,s2-EHR-Action.medication.v1,id156,/description[id156],,,,,,,,,
1167,Reason,Active,6ab52531-6782-ef11-8870-6045bdc71c8b,Medication management reason,Active,General,False,s2-EHR-Action.medication.v1,id22,/description[id22],,,,,,,,,
1168,Route,Active,71468-3,Route Medication,Active,General,False,s2-EHR-Action.medication.v1,id148,/description[id141]/items[id148],,,,,,,,,
1169,Body site,Active,39111-0,Body site Patient Anat Pt Nom,Active,General,False,s2-EHR-Action.medication.v1,id142,/description[id141]/items[id142],,,,,,,,,
1170,Structured body site,Active,72369-2,Body site identification panel Patient - Pt -,Active,General,False,s2-EHR-Action.medication.v1,id143,/description[id141]/items[id143],,,,,,,,,
1171,Administration method,Active,104817-2,Medication administration method Medication Find Pt Nom,Active,General,False,s2-EHR-Action.medication.v1,id144,/description[id141]/items[id144],,,,,,,,,
1172,Administration device,Active,82307-0,Vendor device information panel {Device} - Pt -,Active,General,False,s2-EHR-Action.medication.v1,id145,/description[id141]/items[id145],s2-EHR-Entity_ref_node.device_ref.v1,,,,,,,,
1173,Administration details,Active,80565-5,Medication administration flowsheet {Setting} Find Pt Doc {Role},Active,Clinical Document,False,s2-EHR-Action.medication.v1,id141,/description[id141],,,,,,,,,
1174,Additional details,Active,46696-1,Additional comments [RFC],Active,General,False,s2-EHR-Action.medication.v1,id54,/description[id54],s2-EHR-Info_node.medication_authorisation.v0,,,,,,,,
1175,Patient guidance,Active,e9928739-6782-ef11-8870-6045bdc71c8b,Patient medication guidance,Active,General,False,s2-EHR-Action.medication.v1,id34,/description[id34],,,,,,,,,
1176,Double-checked?,Active,6af40340-6782-ef11-8870-6045bdc71c8b,Medication verified indicator,Active,General,False,s2-EHR-Action.medication.v1,id150,/description[id150],,,,,,,,,
1177,Sequence number,Active,8cd55646-6782-ef11-8870-6045bdc71c8b,Medication order sequence number,Active,General,False,s2-EHR-Action.medication.v1,id26,/description[id26],,,,,,,,,
1178,Comment,Active,106173-8,General comment Patient Find Pt Nar,Active,General,False,s2-EHR-Action.medication.v1,id25,/description[id25],,,,,,,,,
1179,Order ID,Active,104756-2,Order identifier Patient ID Pt Nom,Active,General,False,s2-EHR-Action.medication.v1,id104,/qualifiers[id104],,,,,,,,,
1180,Medication management,Active,d4effea9-ec6e-ef11-8870-6045bdc71c8b,Medication management information panel,Active,General,False,s2-EHR-Action.medication.v1,id1,/,,,,,,,,,
1181,Systolic,Active,8480-6,Intravascular systolic Arterial system Pres Pt Qn,Active,General,False,s2-EHR-Direct_observation.blood_pressure.v3,id5,/data[id5],,,,,,,,,
1182,Diastolic,Active,8462-4,Intravascular diastolic Arterial system Pres Pt Qn,Active,General,False,s2-EHR-Direct_observation.blood_pressure.v3,id6,/data[id6],,,,,,,,,
1183,Mean arterial pressure,Active,8478-0,Intravascular mean Arterial system Pres Pt Qn,Active,General,False,s2-EHR-Direct_observation.blood_pressure.v3,id1007,/data[id1007],,,,,,,,,
1184,Pulse pressure,Active,107146-3,Pulse pressure,Active,General,False,s2-EHR-Direct_observation.blood_pressure.v3,id1008,/data[id1008],,,,,,,,,
1185,Clinical interpretation,Active,64110-0,Interpretation Patient Imp Pt Nom,Active,General,False,s2-EHR-Direct_observation.blood_pressure.v3,id1060,/data[id1060],,,,,,,,,
